Name,Thrust [N],Weight [N],cj [N/N/h],Cost [$]
GE90-94B,416940.4056,77425.43285,0.545,31550000
GE90-115B,513054.7361,85951.12994,0.545,31550000
GE9X,467222.4396,177989.5008,0.49,44500000
GEnx-1B70,310591.6789,60302.84287,0.477,25600000
GEnx-1B74/75,329725.5502,60302.84287,0.5,28700000
GEnx-1B76,338625.0253,60302.84287,0.53,30000000
GEnx-2B67B,295907.5451,55176.74525,0.47,22500000
GE + P&W (Engine Alliance) GP7200,362653.6079,65842.76608,0.55,17300000
GE + Safran (CFM International) CFM56-5B,142391.6006,24531.40295,0.545,3200000
GE + Safran (CFM International) CFM56-7B,121477.8343,23846.14337,0.667,4550000
GE CF34-8C,64521.19404,10901.85692,0.58,4500000
,,,,
Rolls Royce Trent 7000,324092.1825,63226.32042,0.51,41300000
Rolls Royce Trent XWB-84,374667.8992,71387.13903,0.478,35000000
Rolls Royce Trent XWB-97,431624.5394,74043.63233,0.478,35000000
Rolls Royce Trent 1000-R ** some issues,360428.7391,60035.85862,0.506,30000000
Rolls Royce Trent 900,374214.026,61272.88565,0.522,25000000
Rolls Royce Trent 800,413558.6051,59626.48277,0.56,25000000
Rolls Royce Trent 700,307031.8889,60427.43552,0.562,23500000
Rolls Royce Trent 500,240285.8261,48947.11272,0.542,24000000
,,,,
PW1100G,147330.8093,28033.34638,0.53,14000000
PW1500G,108573.5955,21358.7401,0.53,16000000
PW1700G,85390.46301,16909.00258,0.53,12000000
PWV2500,111243.438,22827.15348,0.58,9700000
PW4000-94,231386.351,41827.53269,0.6,6150000
PW4000-100,302582.1514,48947.11272,0.65,7250000
PW4000-112,373777.9517,63853.73341,0.7,9440000
PW2000,170202.4601,31860.12064,0.582,4000000
PW6000,105903.753,22453.37553,0.56,5800000
PWJT8D,96559.30418,20090.5649,0.737,2990000
PWJT9D,249185.3011,38303.34057,0.6,5900000
PW300,23432.31778,4418.589357,0.675,3000000
